Length,Static Pressure(Pi),Total Pressure(P0),A
0,11--0,16--3,81
1,10--0,16--3,75
2,9--0,16--3,69
3,7--3,16--3,64
4,6--1,16--3,58
5,5--1,16--3,52
6,4--4,16--3,47
7,4--3,16--3,43.6
8,4--3,16--3,43.6
9,4--3,16--3,43.6
10,5--0,16--3,43.6
11,5--2,16--3,43.6
12,6--0,16--3,45
13,6--3,16--3,47
14,7--1,16--3,48.5
15,7--3,16--3,51
16,8--0,16--3,52.5
17,8--2,16--3,54
18,8--3,16--3,56
19,9--0,16--3,58
20,9--1,16--3,60
21,9--2,16--3,62
22,9--4,16--3,63.5
23,10--0,16--3,65
24,10--1,16--3,67
25,10--2,16--3,68.5
26,10--3,16--3,70
27,10--4,16--3,72
28,10--4,16--3,74
29,11--0,16--3,76.5
,,,
